x, Lorentz(x)
-7.350000, 0.010972
-7.340000, 0.011000
-7.330000, 0.011028
-7.320000, 0.011056
-7.310000, 0.011084
-7.300000, 0.011112
-7.290000, 0.011141
-7.280000, 0.011169
-7.270000, 0.011198
-7.260000, 0.011226
-7.250000, 0.011255
-7.240000, 0.011284
-7.230000, 0.011313
-7.220000, 0.011342
-7.210000, 0.011371
-7.200000, 0.011401
-7.190000, 0.011430
-7.180000, 0.011460
-7.170000, 0.011489
-7.160000, 0.011519
-7.150000, 0.011549
-7.140000, 0.011579
-7.130000, 0.011609
-7.120000, 0.011640
-7.110000, 0.011670
-7.100000, 0.011700
-7.090000, 0.011731
-7.080000, 0.011762
-7.070000, 0.011793
-7.060000, 0.011823
-7.050000, 0.011855
-7.040000, 0.011886
-7.030000, 0.011917
-7.020000, 0.011948
-7.010000, 0.011980
-7.000000, 0.012012
-6.990000, 0.012043
-6.980000, 0.012075
-6.970000, 0.012107
-6.960000, 0.012140
-6.950000, 0.012172
-6.940000, 0.012204
-6.930000, 0.012237
-6.920000, 0.012269
-6.910000, 0.012302
-6.900000, 0.012335
-6.890000, 0.012368
-6.880000, 0.012401
-6.870000, 0.012435
-6.860000, 0.012468
-6.850000, 0.012502
-6.840000, 0.012535
-6.830000, 0.012569
-6.820000, 0.012603
-6.810000, 0.012637
-6.800000, 0.012672
-6.790000, 0.012706
-6.780000, 0.012740
-6.770000, 0.012775
-6.760000, 0.012810
-6.750000, 0.012845
-6.740000, 0.012880
-6.730000, 0.012915
-6.720000, 0.012950
-6.710000, 0.012986
-6.700000, 0.013021
-6.690000, 0.013057
-6.680000, 0.013093
-6.670000, 0.013129
-6.660000, 0.013165
-6.650000, 0.013202
-6.640000, 0.013238
-6.630000, 0.013275
-6.620000, 0.013312
-6.610000, 0.013349
-6.600000, 0.013386
-6.590000, 0.013423
-6.580000, 0.013460
-6.570000, 0.013498
-6.560000, 0.013535
-6.550000, 0.013573
-6.540000, 0.013611
-6.530000, 0.013649
-6.520000, 0.013688
-6.510000, 0.013726
-6.500000, 0.013765
-6.490000, 0.013804
-6.480000, 0.013842
-6.470000, 0.013882
-6.460000, 0.013921
-6.450000, 0.013960
-6.440000, 0.014000
-6.430000, 0.014040
-6.420000, 0.014079
-6.410000, 0.014119
-6.400000, 0.014160
-6.390000, 0.014200
-6.380000, 0.014241
-6.370000, 0.014281
-6.360000, 0.014322
-6.350000, 0.014363
-6.340000, 0.014405
-6.330000, 0.014446
-6.320000, 0.014488
-6.310000, 0.014529
-6.300000, 0.014571
-6.290000, 0.014613
-6.280000, 0.014656
-6.270000, 0.014698
-6.260000, 0.014741
-6.250000, 0.014784
-6.240000, 0.014827
-6.230000, 0.014870
-6.220000, 0.014913
-6.210000, 0.014957
-6.200000, 0.015000
-6.190000, 0.015044
-6.180000, 0.015088
-6.170000, 0.015133
-6.160000, 0.015177
-6.150000, 0.015222
-6.140000, 0.015267
-6.130000, 0.015312
-6.120000, 0.015357
-6.110000, 0.015403
-6.100000, 0.015448
-6.090000, 0.015494
-6.080000, 0.015540
-6.070000, 0.015586
-6.060000, 0.015633
-6.050000, 0.015679
-6.040000, 0.015726
-6.030000, 0.015773
-6.020000, 0.015820
-6.010000, 0.015868
-6.000000, 0.015915
-5.990000, 0.015963
-5.980000, 0.016011
-5.970000, 0.016060
-5.960000, 0.016108
-5.950000, 0.016157
-5.940000, 0.016206
-5.930000, 0.016255
-5.920000, 0.016304
-5.910000, 0.016354
-5.900000, 0.016403
-5.890000, 0.016453
-5.880000, 0.016504
-5.870000, 0.016554
-5.860000, 0.016605
-5.850000, 0.016656
-5.840000, 0.016707
-5.830000, 0.016758
-5.820000, 0.016810
-5.810000, 0.016861
-5.800000, 0.016913
-5.790000, 0.016966
-5.780000, 0.017018
-5.770000, 0.017071
-5.760000, 0.017124
-5.750000, 0.017177
-5.740000, 0.017230
-5.730000, 0.017284
-5.720000, 0.017338
-5.710000, 0.017392
-5.700000, 0.017446
-5.690000, 0.017501
-5.680000, 0.017556
-5.670000, 0.017611
-5.660000, 0.017666
-5.650000, 0.017722
-5.640000, 0.017778
-5.630000, 0.017834
-5.620000, 0.017890
-5.610000, 0.017947
-5.600000, 0.018004
-5.590000, 0.018061
-5.580000, 0.018119
-5.570000, 0.018176
-5.560000, 0.018234
-5.550000, 0.018292
-5.540000, 0.018351
-5.530000, 0.018410
-5.520000, 0.018469
-5.510000, 0.018528
-5.500000, 0.018587
-5.490000, 0.018647
-5.480000, 0.018707
-5.470000, 0.018768
-5.460000, 0.018828
-5.450000, 0.018889
-5.440000, 0.018951
-5.430000, 0.019012
-5.420000, 0.019074
-5.410000, 0.019136
-5.400000, 0.019198
-5.390000, 0.019261
-5.380000, 0.019324
-5.370000, 0.019387
-5.360000, 0.019451
-5.350000, 0.019515
-5.340000, 0.019579
-5.330000, 0.019643
-5.320000, 0.019708
-5.310000, 0.019773
-5.300000, 0.019839
-5.290000, 0.019904
-5.280000, 0.019970
-5.270000, 0.020037
-5.260000, 0.020103
-5.250000, 0.020170
-5.240000, 0.020237
-5.230000, 0.020305
-5.220000, 0.020373
-5.210000, 0.020441
-5.200000, 0.020510
-5.190000, 0.020579
-5.180000, 0.020648
-5.170000, 0.020717
-5.160000, 0.020787
-5.150000, 0.020857
-5.140000, 0.020928
-5.130000, 0.020999
-5.120000, 0.021070
-5.110000, 0.021142
-5.100000, 0.021214
-5.090000, 0.021286
-5.080000, 0.021358
-5.070000, 0.021431
-5.060000, 0.021505
-5.050000, 0.021579
-5.040000, 0.021653
-5.030000, 0.021727
-5.020000, 0.021802
-5.010000, 0.021877
-5.000000, 0.021952
-4.990000, 0.022028
-4.980000, 0.022105
-4.970000, 0.022181
-4.960000, 0.022258
-4.950000, 0.022336
-4.940000, 0.022413
-4.930000, 0.022492
-4.920000, 0.022570
-4.910000, 0.022649
-4.900000, 0.022728
-4.890000, 0.022808
-4.880000, 0.022888
-4.870000, 0.022969
-4.860000, 0.023050
-4.850000, 0.023131
-4.840000, 0.023213
-4.830000, 0.023295
-4.820000, 0.023377
-4.810000, 0.023460
-4.800000, 0.023544
-4.790000, 0.023627
-4.780000, 0.023712
-4.770000, 0.023796
-4.760000, 0.023881
-4.750000, 0.023967
-4.740000, 0.024053
-4.730000, 0.024139
-4.720000, 0.024226
-4.710000, 0.024313
-4.700000, 0.024401
-4.690000, 0.024489
-4.680000, 0.024578
-4.670000, 0.024667
-4.660000, 0.024756
-4.650000, 0.024846
-4.640000, 0.024937
-4.630000, 0.025027
-4.620000, 0.025119
-4.610000, 0.025211
-4.600000, 0.025303
-4.590000, 0.025396
-4.580000, 0.025489
-4.570000, 0.025583
-4.560000, 0.025677
-4.550000, 0.025771
-4.540000, 0.025867
-4.530000, 0.025962
-4.520000, 0.026059
-4.510000, 0.026155
-4.500000, 0.026252
-4.490000, 0.026350
-4.480000, 0.026448
-4.470000, 0.026547
-4.460000, 0.026646
-4.450000, 0.026746
-4.440000, 0.026846
-4.430000, 0.026947
-4.420000, 0.027048
-4.410000, 0.027150
-4.400000, 0.027253
-4.390000, 0.027355
-4.380000, 0.027459
-4.370000, 0.027563
-4.360000, 0.027668
-4.350000, 0.027773
-4.340000, 0.027878
-4.330000, 0.027985
-4.320000, 0.028091
-4.310000, 0.028199
-4.300000, 0.028307
-4.290000, 0.028415
-4.280000, 0.028524
-4.270000, 0.028634
-4.260000, 0.028744
-4.250000, 0.028855
-4.240000, 0.028967
-4.230000, 0.029079
-4.220000, 0.029191
-4.210000, 0.029305
-4.200000, 0.029419
-4.190000, 0.029533
-4.180000, 0.029648
-4.170000, 0.029764
-4.160000, 0.029880
-4.150000, 0.029997
-4.140000, 0.030115
-4.130000, 0.030233
-4.120000, 0.030352
-4.110000, 0.030472
-4.100000, 0.030592
-4.090000, 0.030713
-4.080000, 0.030834
-4.070000, 0.030957
-4.060000, 0.031079
-4.050000, 0.031203
-4.040000, 0.031327
-4.030000, 0.031452
-4.020000, 0.031578
-4.010000, 0.031704
-4.000000, 0.031831
-3.990000, 0.031959
-3.980000, 0.032087
-3.970000, 0.032216
-3.960000, 0.032346
-3.950000, 0.032476
-3.940000, 0.032608
-3.930000, 0.032740
-3.920000, 0.032872
-3.910000, 0.033006
-3.900000, 0.033140
-3.890000, 0.033275
-3.880000, 0.033411
-3.870000, 0.033547
-3.860000, 0.033684
-3.850000, 0.033822
-3.840000, 0.033961
-3.830000, 0.034101
-3.820000, 0.034241
-3.810000, 0.034382
-3.800000, 0.034524
-3.790000, 0.034667
-3.780000, 0.034810
-3.770000, 0.034954
-3.760000, 0.035099
-3.750000, 0.035245
-3.740000, 0.035392
-3.730000, 0.035540
-3.720000, 0.035688
-3.710000, 0.035837
-3.700000, 0.035988
-3.690000, 0.036139
-3.680000, 0.036290
-3.670000, 0.036443
-3.660000, 0.036597
-3.650000, 0.036751
-3.640000, 0.036906
-3.630000, 0.037063
-3.620000, 0.037220
-3.610000, 0.037378
-3.600000, 0.037537
-3.590000, 0.037696
-3.580000, 0.037857
-3.570000, 0.038019
-3.560000, 0.038181
-3.550000, 0.038345
-3.540000, 0.038509
-3.530000, 0.038675
-3.520000, 0.038841
-3.510000, 0.039008
-3.500000, 0.039177
-3.490000, 0.039346
-3.480000, 0.039516
-3.470000, 0.039687
-3.460000, 0.039859
-3.450000, 0.040033
-3.440000, 0.040207
-3.430000, 0.040382
-3.420000, 0.040558
-3.410000, 0.040736
-3.400000, 0.040914
-3.390000, 0.041093
-3.380000, 0.041274
-3.370000, 0.041455
-3.360000, 0.041637
-3.350000, 0.041821
-3.340000, 0.042006
-3.330000, 0.042191
-3.320000, 0.042378
-3.310000, 0.042566
-3.300000, 0.042755
-3.290000, 0.042945
-3.280000, 0.043136
-3.270000, 0.043328
-3.260000, 0.043522
-3.250000, 0.043716
-3.240000, 0.043912
-3.230000, 0.044109
-3.220000, 0.044307
-3.210000, 0.044506
-3.200000, 0.044706
-3.190000, 0.044908
-3.180000, 0.045111
-3.170000, 0.045315
-3.160000, 0.045520
-3.150000, 0.045726
